,symbol,strike,price
2021-08-02,SPY,400.0,21.72
2021-09-30,SPY,400.0,0.01
2021-10-01,SPY,400.0,55.6
2021-10-04,SPY,400.0,54.44499999999999
2021-10-05,SPY,400.0,54.765
2021-10-06,SPY,400.0,55.099999999999994
2021-10-07,SPY,400.0,59.375
2021-10-08,SPY,400.0,59.18
2021-10-11,SPY,400.0,57.15
2021-10-12,SPY,400.0,55.895
2021-10-13,SPY,400.0,55.67
2021-10-14,SPY,400.0,59.655
2021-10-15,SPY,400.0,63.4
2021-10-18,SPY,400.0,63.43
2021-10-19,SPY,400.0,66.69
2021-10-20,SPY,400.0,67.685
2021-10-21,SPY,400.0,68.64500000000001
2021-10-22,SPY,400.0,69.15
2021-10-25,SPY,400.0,69.645
2021-10-26,SPY,400.0,71.44
2021-10-27,SPY,400.0,70.875
2021-10-28,SPY,400.0,72.195
2021-10-29,SPY,400.0,72.91499999999999
2021-11-01,SPY,400.0,74.965
2021-11-02,SPY,400.0,75.49000000000001
2021-11-03,SPY,400.0,77.065
2021-11-04,SPY,400.0,79.5
2021-11-05,SPY,400.0,82.015
2021-11-08,SPY,400.0,82.425
2021-11-09,SPY,400.0,81.87
2021-11-10,SPY,400.0,78.915
2021-11-11,SPY,400.0,78.48500000000001
2021-11-12,SPY,400.0,79.655
2021-11-15,SPY,400.0,81.13499999999999
2021-11-16,SPY,400.0,81.375
2021-11-17,SPY,400.0,81.97999999999999
2021-11-18,SPY,400.0,82.965
2021-11-19,SPY,400.0,83.065
2021-11-22,SPY,400.0,82.85499999999999
2021-11-23,SPY,400.0,81.905
2021-11-24,SPY,400.0,81.84
2021-11-26,SPY,400.0,77.425
2021-11-29,SPY,400.0,79.525
2021-11-30,SPY,400.0,75.825
2021-12-01,SPY,400.0,73.97999999999999
2021-12-02,SPY,400.0,72.49000000000001
2021-12-03,SPY,400.0,74.54499999999999
2021-12-06,SPY,400.0,75.235
2021-12-07,SPY,400.0,81.13
2021-12-08,SPY,400.0,82.83
2021-12-09,SPY,400.0,81.16499999999999
2021-12-10,SPY,400.0,83.03
2021-12-13,SPY,400.0,81.99
2021-12-14,SPY,400.0,78.16999999999999
2021-12-15,SPY,400.0,80.86
2021-12-16,SPY,400.0,82.92
2021-12-17,SPY,400.0,77.555
2021-12-20,SPY,400.0,73.05
2021-12-21,SPY,400.0,77.07
2021-12-22,SPY,400.0,80.58500000000001
2021-12-23,SPY,400.0,83.725
2021-12-27,SPY,400.0,87.535
2021-12-28,SPY,400.0,89.78
2021-12-29,SPY,400.0,89.635
2021-12-30,SPY,400.0,89.16
2021-12-31,SPY,400.0,87.47
2022-01-03,SPY,400.0,89.045
2022-01-04,SPY,400.0,89.745
2022-01-05,SPY,400.0,85.36500000000001
2022-01-06,SPY,400.0,81.33500000000001
2022-01-07,SPY,400.0,80.41499999999999
2022-01-10,SPY,400.0,77.61500000000001
2022-01-11,SPY,400.0,79.92
2022-01-12,SPY,400.0,82.845
2022-01-13,SPY,400.0,80.52
2022-01-14,SPY,400.0,76.19
2022-01-18,SPY,400.0,72.825
2022-01-19,SPY,400.0,70.13
2022-01-20,SPY,400.0,66.4
2022-01-21,SPY,400.0,60.735
2022-01-24,SPY,400.0,56.870000000000005
2022-01-25,SPY,400.0,55.525
2022-01-26,SPY,400.0,57.355000000000004
2022-01-27,SPY,400.0,55.28
2022-01-28,SPY,400.0,56.625
2022-01-31,SPY,400.0,62.33
2022-02-01,SPY,400.0,66.33500000000001
2022-02-02,SPY,400.0,69.565
2022-02-03,SPY,400.0,64.53
2022-02-04,SPY,400.0,63.614999999999995
2022-02-07,SPY,400.0,63.675000000000004
2022-02-08,SPY,400.0,63.724999999999994
2022-02-09,SPY,400.0,68.92500000000001
2022-02-10,SPY,400.0,64.98
2022-02-11,SPY,400.0,61.36
2022-02-14,SPY,400.0,57.545
2022-02-15,SPY,400.0,60.735
2022-02-16,SPY,400.0,60.67
2022-02-17,SPY,400.0,56.995000000000005
