,symbol,strike,price
2021-08-02,SPY,400.0,9.34
2021-09-30,SPY,400.0,0.01
2021-10-01,SPY,400.0,26.025
2021-10-04,SPY,400.0,26.585
2021-10-05,SPY,400.0,26.08
2021-10-06,SPY,400.0,26.43
2021-10-07,SPY,400.0,23.855
2021-10-08,SPY,400.0,23.475
2021-10-11,SPY,400.0,24.175
2021-10-12,SPY,400.0,24.22
2021-10-13,SPY,400.0,23.72
2021-10-14,SPY,400.0,21.755
2021-10-15,SPY,400.0,21.005000000000003
2021-10-18,SPY,400.0,21.47
2021-10-19,SPY,400.0,19.62
2021-10-20,SPY,400.0,18.905
2021-10-21,SPY,400.0,18.82
2021-10-22,SPY,400.0,18.21
2021-10-25,SPY,400.0,17.715
2021-10-26,SPY,400.0,18.115000000000002
2021-10-27,SPY,400.0,18.625
2021-10-28,SPY,400.0,17.595
2021-10-29,SPY,400.0,18.07
2021-11-01,SPY,400.0,17.345
2021-11-02,SPY,400.0,17.14
2021-11-03,SPY,400.0,16.675
2021-11-04,SPY,400.0,16.04
2021-11-05,SPY,400.0,15.815
2021-11-08,SPY,400.0,15.755
2021-11-09,SPY,400.0,16.284999999999997
2021-11-10,SPY,400.0,17.005
2021-11-11,SPY,400.0,16.67
2021-11-12,SPY,400.0,16.11
2021-11-15,SPY,400.0,15.735
2021-11-16,SPY,400.0,15.845
2021-11-17,SPY,400.0,16.205
2021-11-18,SPY,400.0,16.165
2021-11-19,SPY,400.0,16.48
2021-11-22,SPY,400.0,16.375
2021-11-23,SPY,400.0,16.725
2021-11-24,SPY,400.0,16.67
2021-11-26,SPY,400.0,19.685
2021-11-29,SPY,400.0,18.05
2021-11-30,SPY,400.0,19.68
2021-12-01,SPY,400.0,20.82
2021-12-02,SPY,400.0,21.299999999999997
2021-12-03,SPY,400.0,21.315
2021-12-06,SPY,400.0,20.625
2021-12-07,SPY,400.0,17.415
2021-12-08,SPY,400.0,16.450000000000003
2021-12-09,SPY,400.0,16.735
2021-12-10,SPY,400.0,15.370000000000001
2021-12-13,SPY,400.0,16.695
2021-12-14,SPY,400.0,17.985
2021-12-15,SPY,400.0,16.88
2021-12-16,SPY,400.0,15.71
2021-12-17,SPY,400.0,18.155
2021-12-20,SPY,400.0,19.825000000000003
2021-12-21,SPY,400.0,17.75
2021-12-22,SPY,400.0,16.635
2021-12-23,SPY,400.0,15.42
2021-12-27,SPY,400.0,14.365
2021-12-28,SPY,400.0,13.809999999999999
2021-12-29,SPY,400.0,13.585
2021-12-30,SPY,400.0,13.535
2021-12-31,SPY,400.0,13.59
2022-01-03,SPY,400.0,12.8
2022-01-04,SPY,400.0,12.765
2022-01-05,SPY,400.0,13.795
2022-01-06,SPY,400.0,14.85
2022-01-07,SPY,400.0,14.68
2022-01-10,SPY,400.0,15.015
2022-01-11,SPY,400.0,14.004999999999999
2022-01-12,SPY,400.0,13.0
2022-01-13,SPY,400.0,13.715
2022-01-14,SPY,400.0,14.844999999999999
2022-01-18,SPY,400.0,15.66
2022-01-19,SPY,400.0,16.4
2022-01-20,SPY,400.0,17.485
2022-01-21,SPY,400.0,20.25
2022-01-24,SPY,400.0,22.744999999999997
2022-01-25,SPY,400.0,23.04
2022-01-26,SPY,400.0,21.475
2022-01-27,SPY,400.0,21.805
2022-01-28,SPY,400.0,20.975
2022-01-31,SPY,400.0,18.41
2022-02-01,SPY,400.0,15.97
2022-02-02,SPY,400.0,14.695
2022-02-03,SPY,400.0,17.130000000000003
2022-02-04,SPY,400.0,17.494999999999997
2022-02-07,SPY,400.0,16.755
2022-02-08,SPY,400.0,16.15
2022-02-09,SPY,400.0,14.075
2022-02-10,SPY,400.0,15.754999999999999
2022-02-11,SPY,400.0,17.525
2022-02-14,SPY,400.0,18.935000000000002
2022-02-15,SPY,400.0,17.075000000000003
2022-02-16,SPY,400.0,16.745
2022-02-17,SPY,400.0,18.095
2022-02-18,SPY,400.0,19.4
2022-02-22,SPY,400.0,20.91
2022-02-23,SPY,400.0,21.765
2022-02-24,SPY,400.0,25.09
2022-02-25,SPY,400.0,19.705
2022-02-28,SPY,400.0,19.935000000000002
2022-03-01,SPY,400.0,21.555
2022-03-02,SPY,400.0,20.405
2022-03-03,SPY,400.0,19.335
2022-03-04,SPY,400.0,21.884999999999998
2022-03-07,SPY,400.0,23.91
2022-03-08,SPY,400.0,26.45
2022-03-09,SPY,400.0,23.025
2022-03-10,SPY,400.0,23.8
2022-03-11,SPY,400.0,23.475
2022-03-14,SPY,400.0,25.450000000000003
2022-03-15,SPY,400.0,23.96
2022-03-16,SPY,400.0,20.33
2022-03-17,SPY,400.0,18.41
2022-03-18,SPY,400.0,16.23
2022-03-21,SPY,400.0,14.925
2022-03-22,SPY,400.0,13.719999999999999
2022-03-23,SPY,400.0,14.309999999999999
2022-03-24,SPY,400.0,13.52
2022-03-25,SPY,400.0,12.719999999999999
2022-03-28,SPY,400.0,12.045
2022-03-29,SPY,400.0,10.76
2022-03-30,SPY,400.0,11.120000000000001
2022-03-31,SPY,400.0,11.8
2022-04-01,SPY,400.0,11.809999999999999
2022-04-04,SPY,400.0,11.145
2022-04-05,SPY,400.0,11.56
2022-04-06,SPY,400.0,13.34
2022-04-07,SPY,400.0,13.1
2022-04-08,SPY,400.0,12.94
2022-04-11,SPY,400.0,14.379999999999999
2022-04-12,SPY,400.0,14.51
2022-04-13,SPY,400.0,14.165
2022-04-14,SPY,400.0,13.754999999999999
2022-04-18,SPY,400.0,14.5
2022-04-19,SPY,400.0,13.025
2022-04-20,SPY,400.0,11.7
2022-04-21,SPY,400.0,12.559999999999999
2022-04-22,SPY,400.0,16.16
2022-04-25,SPY,400.0,17.96
2022-04-26,SPY,400.0,19.975
2022-04-27,SPY,400.0,21.314999999999998
2022-04-28,SPY,400.0,18.16
2022-04-29,SPY,400.0,20.52
2022-05-02,SPY,400.0,22.075
2022-05-03,SPY,400.0,20.48
2022-05-04,SPY,400.0,17.43
2022-05-05,SPY,400.0,19.240000000000002
2022-05-06,SPY,400.0,22.38
2022-05-09,SPY,400.0,26.53
2022-05-10,SPY,400.0,25.84
2022-05-11,SPY,400.0,28.675
2022-05-12,SPY,400.0,30.16
2022-05-13,SPY,400.0,25.72
2022-05-16,SPY,400.0,24.72
2022-05-17,SPY,400.0,21.105
2022-05-18,SPY,400.0,25.82
2022-05-19,SPY,400.0,29.525
2022-05-20,SPY,400.0,27.91
2022-05-23,SPY,400.0,26.225
2022-05-24,SPY,400.0,27.165
2022-05-25,SPY,400.0,26.425
2022-05-26,SPY,400.0,22.814999999999998
2022-05-27,SPY,400.0,18.740000000000002
2022-05-31,SPY,400.0,17.935000000000002
2022-06-01,SPY,400.0,17.895
2022-06-02,SPY,400.0,17.4
2022-06-03,SPY,400.0,18.175
2022-06-06,SPY,400.0,16.895000000000003
2022-06-07,SPY,400.0,17.395
2022-06-08,SPY,400.0,16.775
2022-06-09,SPY,400.0,19.685000000000002
2022-06-10,SPY,400.0,25.995
2022-06-13,SPY,400.0,34.835
2022-06-14,SPY,400.0,35.82
2022-06-15,SPY,400.0,33.239999999999995
2022-06-16,SPY,400.0,39.7
2022-06-17,SPY,400.0,40.43
2022-06-21,SPY,400.0,34.25
2022-06-22,SPY,400.0,34.885000000000005
2022-06-23,SPY,400.0,31.45
2022-06-24,SPY,400.0,26.64
2022-06-27,SPY,400.0,23.69
2022-06-28,SPY,400.0,25.455
2022-06-29,SPY,400.0,28.605
2022-06-30,SPY,400.0,31.23
2022-07-01,SPY,400.0,29.255000000000003
2022-07-05,SPY,400.0,29.424999999999997
2022-07-06,SPY,400.0,26.83
2022-07-07,SPY,400.0,23.700000000000003
2022-07-08,SPY,400.0,23.185000000000002
2022-07-11,SPY,400.0,24.549999999999997
2022-07-12,SPY,400.0,26.310000000000002
2022-07-13,SPY,400.0,29.64
2022-07-14,SPY,400.0,30.255000000000003
2022-07-15,SPY,400.0,24.33
2022-07-18,SPY,400.0,23.375
2022-07-19,SPY,400.0,21.035
2022-07-20,SPY,400.0,18.645
2022-07-21,SPY,400.0,16.97
2022-07-22,SPY,400.0,16.325000000000003
2022-07-25,SPY,400.0,16.73
2022-07-26,SPY,400.0,18.465
2022-07-27,SPY,400.0,15.545000000000002
2022-07-28,SPY,400.0,12.399999999999999
2022-07-29,SPY,400.0,10.055
