,symbol,price
2021-08-02,SPY,438.965
2021-08-03,SPY,439.79499999999996
2021-08-04,SPY,439.38
2021-08-05,SPY,440.99
2021-08-06,SPY,442.295
2021-08-09,SPY,442.29499999999996
2021-08-10,SPY,442.645
2021-08-11,SPY,443.79999999999995
2021-08-12,SPY,444.365
2021-08-13,SPY,445.755
2021-08-16,SPY,445.75
2021-08-17,SPY,444.14
2021-08-18,SPY,441.07
2021-08-19,SPY,438.065
2021-08-20,SPY,441.795
2021-08-23,SPY,446.21000000000004
2021-08-24,SPY,447.97
2021-08-25,SPY,448.54
2021-08-26,SPY,447.435
2021-08-27,SPY,448.685
2021-08-30,SPY,451.6
2021-08-31,SPY,451.845
2021-09-01,SPY,452.18
2021-09-02,SPY,453.255
2021-09-03,SPY,452.53
2021-09-07,SPY,452.085
2021-09-08,SPY,450.9
2021-09-09,SPY,449.84000000000003
2021-09-10,SPY,448.24
2021-09-13,SPY,447.61
2021-09-14,SPY,446.145
2021-09-15,SPY,446.25
2021-09-16,SPY,447.245
2021-09-17,SPY,443.15999999999997
2021-09-20,SPY,434.46000000000004
2021-09-21,SPY,435.08
2021-09-22,SPY,436.95500000000004
2021-09-23,SPY,441.515
2021-09-24,SPY,442.675
2021-09-27,SPY,442.725
2021-09-28,SPY,436.70500000000004
2021-09-29,SPY,434.82
2021-09-30,SPY,432.58
2021-10-01,SPY,432.61
2021-10-04,SPY,430.82
2021-10-05,SPY,431.67
2021-10-06,SPY,432.085
2021-10-07,SPY,438.525
2021-10-08,SPY,438.67
2021-10-11,SPY,435.925
2021-10-12,SPY,434.645
2021-10-13,SPY,434.945
2021-10-14,SPY,440.78999999999996
2021-10-15,SPY,445.31
2021-10-18,SPY,445.58000000000004
2021-10-19,SPY,449.78
2021-10-20,SPY,451.77
2021-10-21,SPY,452.67999999999995
2021-10-22,SPY,453.125
2021-10-25,SPY,454.91499999999996
2021-10-26,SPY,456.58
2021-10-27,SPY,455.195
2021-10-28,SPY,456.89
2021-10-29,SPY,457.56
2021-11-01,SPY,460.17
2021-11-02,SPY,461.06
2021-11-03,SPY,463.01
2021-11-04,SPY,466.135
2021-11-05,SPY,468.905
2021-11-08,SPY,469.315
2021-11-09,SPY,468.35
2021-11-10,SPY,464.6
2021-11-11,SPY,464.49
2021-11-12,SPY,466.195
2021-11-15,SPY,468.03499999999997
2021-11-16,SPY,468.215
2021-11-17,SPY,468.57
2021-11-18,SPY,469.485
2021-11-19,SPY,469.25
2021-11-22,SPY,469.23
2021-11-23,SPY,467.70500000000004
2021-11-24,SPY,467.75
2021-11-26,SPY,460.655
2021-11-29,SPY,464.33500000000004
2021-11-30,SPY,458.78
2021-12-01,SPY,456.07
2021-12-02,SPY,454.065
2021-12-03,SPY,456.295
2021-12-06,SPY,457.46000000000004
2021-12-07,SPY,466.345
2021-12-08,SPY,469.11
2021-12-09,SPY,467.25
2021-12-10,SPY,469.985
2021-12-13,SPY,468.38
2021-12-14,SPY,463.225
2021-12-15,SPY,467.01
2021-12-16,SPY,469.51
2021-12-17,SPY,460.71000000000004
2021-12-20,SPY,454.73
2021-12-21,SPY,460.83500000000004
2021-12-22,SPY,465.24
2021-12-23,SPY,469.675
2021-12-27,SPY,474.65999999999997
2021-12-28,SPY,477.295
2021-12-29,SPY,477.23
2021-12-30,SPY,477.045
2021-12-31,SPY,475.29999999999995
2022-01-03,SPY,477.005
2022-01-04,SPY,478.385
2022-01-05,SPY,472.77
2022-01-06,SPY,467.91499999999996
2022-01-07,SPY,467.02
2022-01-10,SPY,464.105
2022-01-11,SPY,467.49
2022-01-12,SPY,471.30499999999995
2022-01-13,SPY,468.36
2022-01-14,SPY,462.95500000000004
2022-01-18,SPY,458.115
2022-01-19,SPY,454.94
2022-01-20,SPY,450.25
2022-01-21,SPY,441.77
2022-01-24,SPY,435.93499999999995
2022-01-25,SPY,433.765
2022-01-26,SPY,437.05
2022-01-27,SPY,434.75
2022-01-28,SPY,437.315
